id	author	page	piece of text	concept	reference pages	relation to concept#2	concept#2	concept neighborhood (aesthetic aspect)	gloss	analytic stylistic category	synthetic stylistic category	aestheticity
												
1	Danto			indiscernibility	pp. 1-2, p. 13, p. 21, p. 28, p. 31, p. 32						nominal	L'intersse primario dell'autore è indagare i confini di ciò che definisce l'artisticità di un oggetto, rispondere alla domanda: cos'è che rende un'opera d'arte tale? Ricercando quindi cosa sia l'estetico, l'approccio di Danto è definibile come sostantivale.
1.1		p. 3	"""Meanwhile, I can only observe that though he has produced a (pretty minimal) artwork (...) he has not yet made an artwork out of that bare red expanse. It remains (...) a stranger to the community of artworks, even though that community contains many members indiscernible from it""."					indiscernible artworks	vedi 2.1			
1.2						based on id. 3.3	copies	mimetic art				
1.3								mimeses as a class				
2				identity	p. 3, p. 5, p. 7, p. 9, p. 13, p. 19, p. 24							
2.1						Se vi sono due oggetti percettivamente identici, cosa rende uno un'opera d'arte e l'altro un mero oggetto banale? La differenza va ricercata oltre le qualità sensibili.	Institutional framework	essence				
2.2		p. 18	"""imitations have a more important function of representing real ones"""				representations	imitation	Rappresentazione assume qui il duplice significato di ripresentazione e di stare al posto di qualcos'altro. I due sensi di rappresentazione corrispondono ai due sensi di apparenza.		Stile dialettico (Danto afferma la sua teoria a partire dall'analisi di altre riflessioni)	
2.3			"""It is safe to say that the greater the degree of realism intended, the greater the need for external indicators that it is art and not reality, these becoming decreasingly necessary as the work itself is decreasingly realistic""."			based on id. 2.1	conventions	identity of artworks				"""the difference between art and reality is just a matter of those conventions, and that whatever convention allows to be an artwork is an artwork"" (p. 31)."
2.4		p. 16	"""the art lover's pleasure is exactly based upomn a difference he is logically required to be able to mark""."				pleasure	copies				
2.5							vedi 2.2	mirror of reality				
2.6		p. 3	"""Artworks are typically about something""."			based on id. 2.3	cognitive dimensions	aboutness	Vedi colonna G, riga 19.			
3				ontology	p. 3, p. 14, p. 23, p. 30							
3.1								what makes it art?				
3.2								gap between the reality and its representations	vedi 2.2			
3.3						based on id. 2.6	aesthetic socratism	information				
3.4		p. 26	"""If art is to have any function at all, it must be execised through what it does not have in common with life""."			based on id. 2.1	boundary	discontinous with reality				
3.5		p. 14	"""As Goodman has pointed out in a parallel case, knowledge that it is different may in the end mae a difference in the way something tastes""."			L'essenza di un'opera d'arte - venendo meno il ruolo della sensibilità nel delineare i confini tra ciò che è arte e ciò che non lo è - va ricercata in una dimensione cognitiva, in cui l'informazione e il concetto vengono messi in primo piano.	concept	knowledge	vedi 2.4			
